filename,source,split,teds_score,label
pubtabnet_train_PMC4682394_003_00.png,pubtabnet,train,0.0789,0
pubtabnet_train_PMC5568346_007_00.png,pubtabnet,train,0.2308,0
pubtabnet_train_PMC4292575_004_00.png,pubtabnet,train,0.2188,0
pubtabnet_train_PMC4235437_007_00.png,pubtabnet,train,0.3103,0
pubtabnet_train_PMC4573298_004_00.png,pubtabnet,train,0.5449,0
pubtabnet_train_PMC4678204_005_00.png,pubtabnet,train,0.5,0
pubtabnet_train_PMC4200824_008_00.png,pubtabnet,train,0.13,0
pubtabnet_train_PMC3698163_007_00.png,pubtabnet,train,0.3182,0
pubtabnet_train_PMC5806616_001_00.png,pubtabnet,train,0.3333,0
pubtabnet_train_PMC3700519_004_01.png,pubtabnet,train,0.22,0
pubtabnet_train_PMC5868456_003_00.png,pubtabnet,train,0.08,0
pubtabnet_train_PMC4227053_002_00.png,pubtabnet,train,0.2389,0
pubtabnet_train_PMC3984631_002_00.png,pubtabnet,train,0.3506,0
pubtabnet_train_PMC4757686_006_01.png,pubtabnet,train,0.1628,0
pubtabnet_train_PMC5510584_002_00.png,pubtabnet,train,0.3611,0
pubtabnet_train_PMC5923760_008_00.png,pubtabnet,train,0.1364,0
pubtabnet_train_PMC4139781_012_00.png,pubtabnet,train,0.2,0
pubtabnet_train_PMC4247557_004_00.png,pubtabnet,train,0.3636,0
pubtabnet_train_PMC4701255_006_00.png,pubtabnet,train,0.3529,0
pubtabnet_train_PMC5865678_010_00.png,pubtabnet,train,0.2273,0
pubtabnet_train_PMC2430951_010_00.png,pubtabnet,train,0.0075,0
pubtabnet_train_PMC2760873_006_00.png,pubtabnet,train,0.2169,0
pubtabnet_train_PMC4898233_003_00.png,pubtabnet,train,0.4118,0
pubtabnet_train_PMC5282645_003_00.png,pubtabnet,train,0.1875,0
pubtabnet_train_PMC3226648_004_01.png,pubtabnet,train,0.14,0
pubtabnet_train_PMC5356272_004_01.png,pubtabnet,train,0.2549,0
pubtabnet_train_PMC5980507_005_00.png,pubtabnet,train,0.1475,0
pubtabnet_train_PMC4358847_004_00.png,pubtabnet,train,0.2973,0
pubtabnet_train_PMC3519571_003_02.png,pubtabnet,train,0.2326,0
pubtabnet_train_PMC5753171_002_00.png,pubtabnet,train,0.25,0
pubtabnet_train_PMC2222161_004_00.png,pubtabnet,train,0.2286,0
pubtabnet_train_PMC3292447_001_00.png,pubtabnet,train,0.2424,0
pubtabnet_train_PMC4349459_003_00.png,pubtabnet,train,0.1719,0
pubtabnet_train_PMC3878951_002_00.png,pubtabnet,train,0.1391,0
pubtabnet_train_PMC5634576_005_00.png,pubtabnet,train,0.1912,0
pubtabnet_train_PMC4588230_003_00.png,pubtabnet,train,0.3728,0
pubtabnet_train_PMC1866484_002_00.png,pubtabnet,train,0.1667,0
pubtabnet_train_PMC4153446_007_00.png,pubtabnet,train,0.25,0
pubtabnet_train_PMC3035895_003_04.png,pubtabnet,train,0.4118,0
pubtabnet_train_PMC4915111_007_00.png,pubtabnet,train,0.2791,0
pubtabnet_train_PMC5951791_006_00.png,pubtabnet,train,0.1748,0
pubtabnet_train_PMC3305412_005_00.png,pubtabnet,train,0.2679,0
pubtabnet_train_PMC3909090_013_00.png,pubtabnet,train,0.0411,0
pubtabnet_train_PMC4284720_004_00.png,pubtabnet,train,0.2158,0
pubtabnet_train_PMC3644280_007_00.png,pubtabnet,train,0.3471,0
pubtabnet_train_PMC3563463_012_00.png,pubtabnet,train,0.3077,0
pubtabnet_train_PMC5084752_014_00.png,pubtabnet,train,0.1538,0
pubtabnet_train_PMC2672401_002_00.png,pubtabnet,train,0.1489,0
pubtabnet_train_PMC3598993_003_00.png,pubtabnet,train,0.2037,0
pubtabnet_train_PMC5954615_003_00.png,pubtabnet,train,0.2037,0
pubtabnet_train_PMC3287916_003_00.png,pubtabnet,train,0.3889,0
pubtabnet_train_PMC4570180_012_01.png,pubtabnet,train,0.3529,0
pubtabnet_train_PMC3995685_003_01.png,pubtabnet,train,0.1591,0
pubtabnet_train_PMC4512026_008_01.png,pubtabnet,train,0.2381,0
pubtabnet_train_PMC3205732_001_00.png,pubtabnet,train,0.5625,0
pubtabnet_train_PMC4247067_005_00.png,pubtabnet,train,0.3138,0
pubtabnet_train_PMC5748456_007_00.png,pubtabnet,train,0.0513,0
pubtabnet_train_PMC4490420_007_00.png,pubtabnet,train,0.3333,0
pubtabnet_train_PMC5611712_006_00.png,pubtabnet,train,0.0387,0
pubtabnet_train_PMC6025398_001_00.png,pubtabnet,train,0.1875,0
pubtabnet_train_PMC3599075_007_01.png,pubtabnet,train,0.1739,0
pubtabnet_train_PMC3539373_003_01.png,pubtabnet,train,0.1034,0
pubtabnet_train_PMC1634994_002_00.png,pubtabnet,train,0.1154,0
pubtabnet_train_PMC3203844_005_01.png,pubtabnet,train,0.2525,0
pubtabnet_train_PMC3547806_006_01.png,pubtabnet,train,0.2308,0
pubtabnet_train_PMC6029277_003_00.png,pubtabnet,train,0.2405,0
pubtabnet_train_PMC4570329_012_00.png,pubtabnet,train,0.254,0
pubtabnet_train_PMC5508912_002_00.png,pubtabnet,train,0.1493,0
pubtabnet_train_PMC4493541_002_00.png,pubtabnet,train,0.1842,0
pubtabnet_train_PMC4471750_002_00.png,pubtabnet,train,0.3158,0
pubtabnet_train_PMC4075983_008_00.png,pubtabnet,train,0.1322,0
pubtabnet_train_PMC5354933_007_00.png,pubtabnet,train,0.3521,0
pubtabnet_train_PMC3333187_011_00.png,pubtabnet,train,0.2222,0
pubtabnet_train_PMC2688929_007_01.png,pubtabnet,train,0.2727,0
pubtabnet_train_PMC2777901_007_01.png,pubtabnet,train,0.225,0
pubtabnet_train_PMC4032927_005_00.png,pubtabnet,train,0.2719,0
pubtabnet_train_PMC2266930_002_00.png,pubtabnet,train,0.2174,0
pubtabnet_train_PMC5442037_002_00.png,pubtabnet,train,0.2917,0
pubtabnet_train_PMC3204269_008_00.png,pubtabnet,train,0.1304,0
pubtabnet_train_PMC2386815_003_00.png,pubtabnet,train,0.117,0
pubtabnet_train_PMC4794189_004_00.png,pubtabnet,train,0.1298,0
pubtabnet_train_PMC5858351_013_00.png,pubtabnet,train,0.3645,0
pubtabnet_train_PMC2500004_003_00.png,pubtabnet,train,0.11,0
pubtabnet_train_PMC4870656_001_00.png,pubtabnet,train,0.3521,0
pubtabnet_train_PMC4196086_001_00.png,pubtabnet,train,0.3667,0
pubtabnet_train_PMC5836033_012_01.png,pubtabnet,train,0.234,0
pubtabnet_train_PMC3141535_009_01.png,pubtabnet,train,0.4151,0
pubtabnet_train_PMC2716329_001_01.png,pubtabnet,train,0.1875,0
pubtabnet_train_PMC4870401_002_00.png,pubtabnet,train,0.5676,0
pubtabnet_train_PMC3978753_003_00.png,pubtabnet,train,0.451,0
pubtabnet_train_PMC5198030_003_00.png,pubtabnet,train,0.3571,0
pubtabnet_train_PMC4991374_006_00.png,pubtabnet,train,0.3333,0
pubtabnet_train_PMC2918533_004_01.png,pubtabnet,train,0.0976,0
pubtabnet_train_PMC4619330_009_00.png,pubtabnet,train,0.1842,0
pubtabnet_train_PMC5753651_005_00.png,pubtabnet,train,0.2439,0
pubtabnet_train_PMC3635873_005_00.png,pubtabnet,train,0.2623,0
